KAMStructure,RH_NVH,BH_KAM_Group,BH_KAM_L1,Region,Final Branch,Branch,Role,Vertical,Vertical_New,BVH
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,CONS.DURABLES,CONS.DURABLES,BVH - CONS.DURABLES - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,CONS.SOFT & OTC,CONS.SOFT & OTC,BVH - CONS.SOFT & OTC - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,CONSUMER SERVICES,CONSUMER SERVICES,BVH - CONSUMER SERVICES - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,E BUSINESS,E BUSINESS,BVH - E BUSINESS - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,EDUCATION,EDUCATION,BVH - EDUCATION - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,FOOD & BEVERAGES,FOOD & BEVERAGES,BVH - FOOD & BEVERAGES - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,GOVERNMENT,GOVERNMENT,BVH - GOVERNMENT - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,HUMAN CAPITAL,APPOINTMENTS,BVH - APPOINTMENTS - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,INTERIOR DECOR,INTERIOR DECOR,BVH - INTERIOR DECOR - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,LUXURY,LUXURY,BVH - LUXURY - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,OBIT / PERSONAL,OBIT / PERSONAL,BVH - OBIT / PERSONAL - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,REAL ESTATE,REAL ESTATE,BVH - REAL ESTATE - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,RETAIL,RETAIL,BVH - RETAIL - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,RETAIL HEALTHCARE & PHARMA,RETAIL HEALTHCARE & PHARMA,BVH - RETAIL HEALTHCARE & PHARMA - BANGALORE
Development Accounts,RH SOUTH,DA,DA BAN 1,SOUTH,BAN,BANGALORE,BVH,SPORTS MEDIA & ENTERTAINMENT,MEDIA ENTERTAINMENT,BVH - MEDIA ENTERTAINMENT - BANGALORE
